Date,State,HighQ,MedQ,LowQ
2014-01-01,Alabama,339.06,198.64,149.49
2014-01-01,Alaska,288.75,260.6,388.58
2014-01-01,Arizona,303.31,209.35,189.45
2014-01-01,Arkansas,361.85,185.62,125.87
2014-01-01,California,248.78,193.56,192.92
2014-01-01,Colorado,236.31,195.29,213.5
2014-01-01,Connecticut,347.9,273.97,257.36
2014-01-01,Delaware,373.18,226.25,199.88
2014-01-01,District of Columbia,352.26,295.67,213.72
2014-01-01,Florida,306.43,220.03,158.26
2014-01-01,Georgia,332.21,213.52,153.45
2014-01-01,Hawaii,310.96,270.38,160.46
2014-01-01,Idaho,276.05,254.96,132.61
2014-01-01,Illinois,359.74,287.23,181.25
2014-01-01,Indiana,336.8,206.24,154.05
2014-01-01,Iowa,371.7,292.34,252.24
2014-01-01,Kansas,353.51,260.97,124.27
2014-01-01,Kentucky,337.33,183.17,120.31
2014-01-01,Louisiana,377.71,243.26,153.73
2014-01-01,Maine,321.1,259.18,214.8
2014-01-01,Montana,279.73,257.98,734.65
2014-01-01,Nebraska,352.64,247.03,142.99
2014-01-01,Nevada,269.61,218.67,231.08
2014-01-01,New Hampshire,366.47,289.81,561.05
2014-01-01,New Jersey,354.91,294.39,225.62
2014-01-01,New Mexico,293.86,216.55,63.7
2014-01-01,New York,351.98,268.88,190.38
2014-01-01,North Carolina,355.88,247.26,152.09
2014-01-01,North Dakota,412.84,361.95,269.55
2014-01-01,Ohio,336.63,212.44,168.87
2014-01-01,Oklahoma,364.57,228.12,121.6
2014-01-01,Oregon,213.49,188.55,175.87
2014-01-01,Maryland,380.03,248.71,196.59
2014-01-01,Massachusetts,354.84,297.28,217.89
2014-01-01,Michigan,299.36,277.63,227.48
2014-01-01,Minnesota,371.18,280.57,183.29
2014-01-01,Mississippi,340.28,150.02,137.29
2014-01-01,Missouri,371.57,241.63,153.48
2014-01-01,Pennsylvania,372.68,266.44,194.12
2014-01-01,Rhode Island,335.29,262.07,207.93
2014-01-01,South Carolina,349.42,201.99,176.93
2014-01-01,South Dakota,387.8,362.7,125.68
2014-01-01,Tennessee,359.75,223.62,200.59
2014-01-01,Texas,343.33,235.87,141.96
2014-01-01,Utah,291.54,233.11,169.84
2014-01-01,Vermont,379.88,323.31,187.06
2014-01-01,Virginia,374.01,288.44,223.02
2014-01-01,Washington,236.03,192.06,148.33
2014-01-01,West Virginia,360.8,197.75,158.25
2014-01-01,Wisconsin,357.99,267.95,229.91
2014-01-01,Wyoming,355.9,378.95,161.3
2015-01-01,Alabama,337.54,208.24,NA
2015-01-01,Alaska,303.02,270.45,NA
2015-01-01,Arizona,298.51,209.43,NA
2015-01-01,Arkansas,341.68,207.2,NA
2015-01-01,California,243.96,189.35,NA
2015-01-01,Colorado,243.72,195.11,NA
2015-01-01,Connecticut,337.26,267.99,NA
2015-01-01,Delaware,364.19,234.72,NA
2015-01-01,District of Columbia,348.66,281.93,NA
2015-01-01,Florida,300.88,217.05,NA
2015-01-01,Georgia,324.3,217.17,NA
2015-01-01,Hawaii,307.64,263.45,NA
2015-01-01,Idaho,275.37,245.14,NA
2015-01-01,Illinois,353.97,282.59,NA
2015-01-01,Indiana,332.48,214.43,NA
2015-01-01,Iowa,364.92,289.05,NA
2015-01-01,Kansas,350.24,260.7,NA
2015-01-01,Kentucky,338.76,173.9,NA
2015-01-01,Louisiana,361.51,240.78,NA
2015-01-01,Maine,312.3,234.89,NA
2015-01-01,Montana,265.51,241.42,NA
2015-01-01,Nebraska,335.65,246.33,NA
2015-01-01,Nevada,266.14,226.59,NA
2015-01-01,New Hampshire,353.87,289.07,NA
2015-01-01,New Jersey,345.31,286.53,NA
2015-01-01,New Mexico,289.04,219.28,NA
2015-01-01,New York,343.8,263.56,NA
2015-01-01,North Carolina,345.24,245.87,NA
2015-01-01,North Dakota,393.94,339.6,NA
2015-01-01,Ohio,332.59,218.93,NA
2015-01-01,Oklahoma,354.61,238.15,NA
2015-01-01,Oregon,205.8,180.9,NA
2015-01-01,Maryland,366.01,255.84,NA
2015-01-01,Massachusetts,345.62,285.84,NA
2015-01-01,Michigan,288.06,270.77,NA
2015-01-01,Minnesota,351.55,272.96,NA
2015-01-01,Mississippi,335.1,150.49,NA
2015-01-01,Missouri,351.6,244.97,NA
2015-01-01,Pennsylvania,362.89,269.42,NA
2015-01-01,Rhode Island,317.15,258.95,NA
2015-01-01,South Carolina,337,205.71,NA
2015-01-01,South Dakota,357.05,348.81,NA
2015-01-01,Tennessee,348.89,225.38,NA
2015-01-01,Texas,334.2,233.6,NA
2015-01-01,Utah,290.42,238.08,NA
2015-01-01,Vermont,371.23,308.86,NA
2015-01-01,Virginia,364.95,293.02,NA
2015-01-01,Washington,233.01,189.92,NA
2015-01-01,West Virginia,359.63,224.17,NA
2015-01-01,Wisconsin,350.49,272.73,NA
2015-01-01,Wyoming,320.39,351.86,NA
2014-02-01,Alabama,338.8,200.02,152.02
2014-02-01,Alaska,288.81,254.5,388.58
2014-02-01,Arizona,303.17,210.19,195.32
2014-02-01,Arkansas,359.41,183.16,128.15
2014-02-01,California,248.2,192.8,191.94
2014-02-01,Colorado,237.48,198.12,223.47
2014-02-01,Connecticut,346.91,273.87,252.88
2014-02-01,Delaware,373.91,227.38,199.88
2014-02-01,District of Columbia,349.35,292.22,211.38
2014-02-01,Florida,305.93,219.78,156.94
2014-02-01,Georgia,332.05,214.18,154.46
2014-02-01,Hawaii,307.76,272.99,162.11
2014-02-01,Idaho,275.3,257.48,133.75
2014-02-01,Illinois,356.89,287.69,176.36
2014-02-01,Indiana,335.59,208.28,161.44
2014-02-01,Iowa,369.77,292.45,251.78
2014-02-01,Kansas,354.96,261.31,113.7
2014-02-01,Kentucky,338.84,181.5,125.11
2014-02-01,Louisiana,374.2,242.75,149.56
2014-02-01,Maine,319.11,259.84,214.8
2014-02-01,Montana,271.16,251.43,734.65
2014-02-01,Nebraska,349.72,248.44,142.51
2014-02-01,Nevada,270.12,219.36,252.49
2014-02-01,New Hampshire,376.92,285.57,550.95
2014-02-01,New Jersey,354.73,292.57,230.04
2014-02-01,New Mexico,293.37,205.27,63.7
2014-02-01,New York,352.35,268.5,190.16
2014-02-01,North Carolina,355.37,247.42,151.42
2014-02-01,North Dakota,409.28,335.38,331.9
2014-02-01,Ohio,336.65,213.69,167.26
2014-02-01,Oklahoma,364.39,228.53,120.16
2014-02-01,Oregon,212.44,188.96,174.52
2014-02-01,Maryland,379.62,250.16,194.99
2014-02-01,Massachusetts,352.84,296.87,220.8
2014-02-01,Michigan,298.18,276.59,228.04
2014-02-01,Minnesota,370.4,278.01,181.28
2014-02-01,Mississippi,338.86,149.19,143.99
2014-02-01,Missouri,367.31,242.19,149.58
2014-02-01,Pennsylvania,371.47,266.6,193.02
2014-02-01,Rhode Island,333.52,261.15,201.75
2014-02-01,South Carolina,346.43,202.01,171.2
2014-02-01,South Dakota,389.9,369,125.68
2014-02-01,Tennessee,358.19,225.32,196.86
2014-02-01,Texas,342.07,235.99,142.88
2014-02-01,Utah,293.06,233.2,168.59
2014-02-01,Vermont,377.22,321.36,187.64
2014-02-01,Virginia,373.81,287.78,225.76
2014-02-01,Washington,235.43,191.21,153.14
2014-02-01,West Virginia,364.28,197.45,158.3
2014-02-01,Wisconsin,357.72,270.51,233.39
2014-02-01,Wyoming,354.03,378.64,161.3
2015-02-01,Alabama,335.85,209.19,NA
2015-02-01,Alaska,302.89,271.01,NA
2015-02-01,Arizona,297.02,208.31,NA
2015-02-01,Arkansas,341.84,208.99,NA
2015-02-01,California,243.3,188.95,NA
2015-02-01,Colorado,242.8,195.92,NA
2015-02-01,Connecticut,336.04,267.14,NA
2015-02-01,Delaware,363.88,234.61,NA
2015-02-01,District of Columbia,347.83,282.82,NA
2015-02-01,Florida,300.26,216.3,NA
2015-02-01,Georgia,322.74,216.77,NA
2015-02-01,Hawaii,306.34,261.94,NA
2015-02-01,Idaho,275.45,243.24,NA
2015-02-01,Illinois,352.48,282.38,NA
2015-02-01,Indiana,331.38,216.18,NA
2015-02-01,Iowa,365.1,289.48,NA
2015-02-01,Kansas,348.95,259.9,NA
2015-02-01,Kentucky,338.45,173.71,NA
2015-02-01,Louisiana,361.21,241.3,NA
2015-02-01,Maine,304.94,234.82,NA
2015-02-01,Montana,265.34,247.53,NA
2015-02-01,Nebraska,335.4,243.73,NA
2015-02-01,Nevada,265.48,226.41,NA
2015-02-01,New Hampshire,353.09,288.14,NA
2015-02-01,New Jersey,345.09,285.72,NA
2015-02-01,New Mexico,287.82,219.03,NA
2015-02-01,New York,343.09,262.93,NA
2015-02-01,North Carolina,344.52,245.55,NA
2015-02-01,North Dakota,387.11,320.08,NA
2015-02-01,Ohio,332.48,219.86,NA
2015-02-01,Oklahoma,352.64,238.4,NA
2015-02-01,Oregon,205.32,180.47,NA
2015-02-01,Maryland,362.62,267.45,NA
2015-02-01,Massachusetts,343.92,284.48,NA
2015-02-01,Michigan,287.5,268.2,NA
2015-02-01,Minnesota,347.92,273.52,NA
2015-02-01,Mississippi,335.78,151.02,NA
2015-02-01,Missouri,349.57,245.95,NA
2015-02-01,Pennsylvania,362.11,269.69,NA
2015-02-01,Rhode Island,316.78,255.78,NA
2015-02-01,South Carolina,337.05,205.28,NA
2015-02-01,South Dakota,357.66,347.72,NA
2015-02-01,Tennessee,347.43,226.26,NA
2015-02-01,Texas,333.39,232.31,NA
2015-02-01,Utah,289.15,236.98,NA
2015-02-01,Vermont,369.87,306.19,NA
2015-02-01,Virginia,364.61,291.12,NA
2015-02-01,Washington,232.87,188.73,NA
2015-02-01,West Virginia,358.12,226.35,NA
2015-02-01,Wisconsin,348.79,271.23,NA
2015-02-01,Wyoming,322.28,350.57,NA
2014-03-01,Alabama,340.14,202.42,146.33
2014-03-01,Alaska,286.78,252.51,388.58
2014-03-01,Arizona,303.05,209.48,195.16
2014-03-01,Arkansas,357.73,182.91,126.75
2014-03-01,California,247.6,192.97,191.4
2014-03-01,Colorado,237.65,197.59,226.22
2014-03-01,Connecticut,347.01,274.19,252.31
2014-03-01,Delaware,371.68,227.71,206.61
2014-03-01,District of Columbia,350.61,294.21,208.53
2014-03-01,Florida,305.18,219.71,153.21
2014-03-01,Georgia,330.86,213.93,151.92
2014-03-01,Hawaii,307.96,274.35,167.62
2014-03-01,Idaho,275.6,256.69,129.39
2014-03-01,Illinois,358.11,287.38,177.98
2014-03-01,Indiana,334.51,208.01,168.44
2014-03-01,Iowa,370.98,291.46,247.69
2014-03-01,Kansas,352.32,261,114.26
2014-03-01,Kentucky,337.49,181.16,124.52
2014-03-01,Louisiana,373.09,242.63,149.38
2014-03-01,Maine,319.72,258.32,213.48
2014-03-01,Montana,269.87,257.03,704.89
2014-03-01,Nebraska,347.81,249.25,141.76
2014-03-01,Nevada,268.51,217.94,252.49
2014-03-01,New Hampshire,370.09,289.97,677.38
2014-03-01,New Jersey,353.34,292.02,231.68
2014-03-01,New Mexico,291.15,216.16,69.76
2014-03-01,New York,351.18,267.69,189.64
2014-03-01,North Carolina,354.52,247.73,151.27
2014-03-01,North Dakota,401.47,353.27,363.11
2014-03-01,Ohio,336.13,213.46,165.98
2014-03-01,Oklahoma,365.32,227.46,116.69
2014-03-01,Oregon,212.01,188.5,169.34
2014-03-01,Maryland,379.56,250.78,191.01
2014-03-01,Massachusetts,352.17,295.62,218.96
2014-03-01,Michigan,297.46,273.82,226.38
2014-03-01,Minnesota,368.88,277.97,181.28
2014-03-01,Mississippi,339.99,146.75,140.36
2014-03-01,Missouri,367.25,243.01,149.4
2014-03-01,Pennsylvania,370.52,266.67,190.52
2014-03-01,Rhode Island,332.54,259.33,201.75
2014-03-01,South Carolina,345.87,202.41,186.66
2014-03-01,South Dakota,387.89,354.47,124.17
2014-03-01,Tennessee,356.51,226.78,192.43
2014-03-01,Texas,341.57,235.59,144.45
2014-03-01,Utah,292.86,234.54,189.78
2014-03-01,Vermont,376.96,320.6,187.64
2014-03-01,Virginia,372.81,288.32,226.39
2014-03-01,Washington,234.91,191.28,146.32
2014-03-01,West Virginia,362.32,217.32,160.38
2014-03-01,Wisconsin,357.14,269.92,238.37
2014-03-01,Wyoming,352.41,378.46,161.3
2014-04-01,Alabama,340.7,204.48,145.88
2014-04-01,Alaska,287.59,256.78,388.58
2014-04-01,Arizona,302.52,208.67,193.93
2014-04-01,Arkansas,352.22,183.17,129.26
2014-04-01,California,246.76,192.91,191.98
2014-04-01,Colorado,237.53,196.47,226.28
2014-04-01,Connecticut,346.15,275.46,252.31
2014-04-01,Delaware,372.35,226.24,206.61
2014-04-01,District of Columbia,346.59,291.02,214.35
2014-04-01,Florida,304.78,218.73,152.72
2014-04-01,Georgia,329.32,214.85,152.82
2014-04-01,Hawaii,314.67,276.75,167.62
2014-04-01,Idaho,275.26,256.26,140.27
2014-04-01,Illinois,357.42,286.74,189.87
2014-04-01,Indiana,334.81,209.8,158.28
